sample_id,title,rouge1_f1,rouge2_f1,rougeL_f1,rouge1_precision,rouge1_recall,rouge2_precision,rouge2_recall,rougeL_precision,rougeL_recall,bertscore_precision,bertscore_recall,bertscore_f1,prediction_length,reference_length,compression_ratio
2injatedmf5nwj5gtxqjflfkb5r7p23s,Web Rhetoric: Intentionality and textuality on the web pages of insurance and reinsurance companies,0.4532,0.1136,0.185,0.4135,0.5013,0.1036,0.1256,0.1688,0.2046,0.8312,0.8266,0.8289,3418,2346,1.46
2ip36tjkiksxne4xzaild47euhkibbue,Autonomously Managing Competing Objectives to Improve the Creation and Curation of Artifacts,0.1707,0.0335,0.0853,0.1024,0.5111,0.0201,0.1011,0.0512,0.2556,0.7927,0.8289,0.8104,3123,481,6.49
2jt4mtghgha6gdr2ddfwmpfe3w4l4jir,Opening Ceremony,0.279,0.077,0.1277,0.656,0.1772,0.1813,0.0489,0.3003,0.0811,0.8179,0.798,0.8078,2374,7069,0.34
2l2uulzx2wh4do2ksztv54bjuntu7w7c,LSD-SLAM: Large-Scale Direct Monocular SLAM,0.3901,0.0862,0.1521,0.3665,0.417,0.081,0.0922,0.1429,0.1625,0.83,0.8281,0.829,2318,1547,1.5
2lyxa7uf77huw22pvia3ippm7xe54hxp,From Physiologically Based Pharmacokinetic Modelling toward System Biology,0.3814,0.0592,0.1294,0.503,0.3071,0.0781,0.0476,0.1707,0.1042,0.8235,0.8022,0.8127,2455,3098,0.79
2n7h3ij67yw5a6yhfyoa3nt7egwsncry,LEX 1/3 infrastructure,0.4351,0.1084,0.1838,0.4149,0.4574,0.1034,0.114,0.1753,0.1932,0.8312,0.8302,0.8307,2686,2051,1.31
2opntyhnydgxqc6ku7a5gwvzvu4zakln,Time-varying genetic network inference using informative priors,0.441,0.1182,0.1978,0.6463,0.3347,0.1733,0.0897,0.2899,0.1501,0.834,0.8227,0.8283,2673,4269,0.63
2pdtraqofhyd7ces6t6wezfybrkasqec,Live imaging of RNA dynamics for genetic forms of amyotrophic lateral sclerosis (ALS) in zebrafish,0.4769,0.1242,0.1713,0.5764,0.4067,0.1502,0.1059,0.207,0.1461,0.8398,0.8229,0.8312,2062,2531,0.81
2pey2a6jn5avx6tdqpf64syhjiz3sxxx,Linked Open Data,0.25,0.0863,0.15,0.1628,0.5385,0.0561,0.1875,0.0977,0.3231,0.8277,0.858,0.8426,1384,359,3.86
2ph442siaux66tigpbrc7bk4voguzpbf,Extracting semantic user networks from informal communication exchances social web,0.4264,0.0813,0.153,0.4623,0.3957,0.0882,0.0754,0.1658,0.1419,0.8426,0.8288,0.8356,2926,2682,1.09
2pnbghpxa2f2ng5ysppjad775za2gsfj,Plenary Session: The Role of the OER Community,0.0966,0.0293,0.0676,0.0508,1.0,0.0153,0.3333,0.0355,0.7,0.812,0.9013,0.8543,1335,72,18.54
2ppaweth2heirrsnqzwf2to7v6ngd7km,KiWi - A platform for building Semantic Social Media Applications,0.3854,0.0782,0.1439,0.4716,0.3258,0.0958,0.0661,0.1761,0.1216,0.8323,0.8226,0.8274,2448,2693,0.91
2qxxxwinqqtuirtz4y5ifqbuizkyjtuc,"""Why the Semantic Web will never work""",0.3051,0.0525,0.1331,0.523,0.2154,0.0901,0.037,0.2281,0.0939,0.8173,0.8113,0.8143,2983,5487,0.54
2rdgfdukeigil43bzuycejrzapscrpvl,Representation and Reasoning with Universal Schema Embeddings,0.3606,0.0584,0.148,0.5135,0.2779,0.0831,0.045,0.2108,0.1141,0.823,0.8166,0.8198,3108,4591,0.68
2rq73ai3lklr6riftzovhd4t5ajcipju,No-Free-Lunch Theorems for Transfer Learning,0.3646,0.0775,0.1584,0.5657,0.269,0.1203,0.0571,0.2457,0.1168,0.831,0.8121,0.8214,2467,3983,0.62
2tlkd4nswbenovbgee4lnl4veuulu6jr,Big Data Techniques For Supporting Prediction of Renewable Energy Production,0.4598,0.1066,0.1731,0.5082,0.4199,0.1178,0.0973,0.1913,0.158,0.8341,0.8276,0.8309,2530,2519,1.0
2usot2jugen3qqnawnobg4k5kxaztnjw,Transmedia Storytelling and Social Media Engagement,0.2801,0.0197,0.1513,0.2801,0.2801,0.0197,0.0197,0.1513,0.1513,0.8073,0.8073,0.8073,2567,1823,1.41
2wp4vtsmoxbczi4yotdjxrcaampwwdhq,Rich Probabilistic Models for Holistic Scene Understanding,0.3476,0.0656,0.1358,0.6188,0.2417,0.1169,0.0456,0.2417,0.0944,0.8217,0.8187,0.8202,3411,6921,0.49
2xn6v2ncotut7r4ocvvhh5xgkcibi5qp,Gaussian Processes and Gene Regulation,0.3786,0.0625,0.1581,0.3864,0.3712,0.0638,0.0613,0.1614,0.155,0.8225,0.8125,0.8175,3242,2489,1.3
2xtt5nlztx3lxqmpgu3wdj5hmmvgomad,The Europeana Use Case - Multilingual and Semantic Interoperability in Cultural Heritage Information Systems,0.3085,0.0783,0.1489,0.2351,0.4485,0.0596,0.114,0.1135,0.2165,0.8177,0.8346,0.8261,2719,1086,2.5
2xvaz7rpppkjhqww5uip35csy2ij3amp,Ihara Coeficients: A Flexible Tool for Higher Order Learning,0.4441,0.1246,0.1669,0.6091,0.3494,0.171,0.098,0.2289,0.1314,0.8265,0.8254,0.826,3346,4648,0.72
2yfsb56xd6lb5i3gyfq6go3rle6lt7pg,Determination of fluorine in vegetation - oxygen bomb combustion vs. alkali metal carbonate fusion,0.4959,0.2,0.3306,0.5263,0.4688,0.2124,0.189,0.3509,0.3125,0.8855,0.8825,0.884,799,784,1.02
2yj5hnvrvdnmptej2o76kvmq2jiglc4c,Old and New algorithm for Blind Deconvolution,0.4112,0.104,0.1437,0.4791,0.3601,0.1212,0.0911,0.1674,0.1259,0.8121,0.8154,0.8137,3029,3052,0.99
2ytl6nnsyif6ec3j6ux5muaeima2l3zs,Exploring the Political Agenda of the Greek Parliament Plenary Sessions,0.488,0.1257,0.1867,0.602,0.4103,0.1551,0.1056,0.2303,0.157,0.8553,0.8403,0.8477,2136,2542,0.84
2zhpmyhivjnrr4iwlvporjcgf34er5em,An Efficient Sparse Metric Learning in High-Dimensional Space via L1-Penalized Log-Determinant Regularization,0.1685,0.0074,0.0806,0.1065,0.4035,0.0047,0.0179,0.0509,0.193,0.8093,0.8358,0.8223,1588,349,4.55
32uaybjann263mbejcv3qxh2chbgkrmo,Real-Time 3D Reconstruction and 6-DoF Tracking with an Event Camera,0.4464,0.1062,0.1803,0.5455,0.3777,0.1298,0.0898,0.2203,0.1525,0.8428,0.8349,0.8388,1993,2333,0.85
33qwrgexhet6ozahcsmj6lecdcek53ac,Detecting Erroneous Identity Links on the Web using Network Metrics,0.4971,0.1531,0.2012,0.5841,0.4327,0.18,0.1332,0.2364,0.1751,0.8322,0.8263,0.8293,2906,3187,0.91
34o3urxj5jjy2ztwsl2f56tq4wusqjxm,Space in Time,0.1456,0.0195,0.0874,0.0882,0.4167,0.0118,0.0563,0.0529,0.25,0.8,0.8233,0.8115,2372,393,6.04
35cr3u72s3gh5ihw2kwwgcgkbox7kfpe,Flipping with OER: K12 teachers’ views of the impact of open practices on students,0.2184,0.043,0.0942,0.1527,0.3835,0.03,0.0758,0.0659,0.1654,0.8171,0.8148,0.8159,2358,713,3.31
35m4zhuokcqx4af5lnbpq5uao7huc6j5,Truly individualized systems medicine: a hands-on tutorial where participants will resolve paradoxes by using virtual twin/digital-me,0.3261,0.0456,0.1289,0.4503,0.2556,0.063,0.0357,0.178,0.101,0.8188,0.8125,0.8156,2806,3655,0.77
35n7gmpa2jk5uh477nuyew4xdrrq6fqx,"Kovinastroj Gastronom, Factroy of catering equipment d.d.",0.3805,0.0803,0.1402,0.4733,0.3182,0.1,0.0671,0.1744,0.1172,0.8364,0.8141,0.8251,2147,2490,0.86
363lcbh3ngxi5p5wammumtsr3lrrgnez,"Smooth, Finite, and Convex Optimization Deep Learning Summer School",0.4117,0.0785,0.145,0.4186,0.4049,0.0798,0.0772,0.1475,0.1426,0.8243,0.8197,0.822,4258,3377,1.26
